,category,full_text,retweet_count,created_at,geo
0,Android,"RT @AlexKhayrullin: I know I haven't shared much on #SonicTimeTwisted Android port lately, I've had family in town, so real life took prior…",1,Tue Sep 15 19:21:39 +0000 2020,
1,Android,"@Archetapp Now iOS looks like Samsung one ui that's why I left the iOS and move on android but iOS is the best OS ,Android is totally bullshit but Battery timing is so amazing .",0,Tue Sep 15 19:21:38 +0000 2020,
2,Android,"RT @veikk_india: #Giveaway,  A30 updated version  
#support both computer &amp; Android Mobile Phone 👏👏
 #10 people, please retweet my share an…",114,Tue Sep 15 19:21:36 +0000 2020,
3,Android,"@GabbbarSingh Idk...I am an android user for 7 years now. Kinda liking the iPads more and more. 

Is iPad pro worth it? Considering there's samsung tab S7+ also.",0,Tue Sep 15 19:21:36 +0000 2020,
4,Android,"Check out what I just read on the Trade Rumors Android app! Yankees Reinstate Giancarlo Stanton, Gio Urshela, Jonathan Loaisiga From Injured List https://t.co/CZUvVyHD4h",0,Tue Sep 15 19:21:34 +0000 2020,
5,Android,"RT @AlexKhayrullin: I stumbled upon an attempt at a dev diary I did back in 2017, before Sonic Time Twisted entered my life. See the image…",3,Tue Sep 15 19:21:33 +0000 2020,
6,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:21:31 +0000 2020,
7,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:21:29 +0000 2020,
8,Android,"Apple Watch 6's Family Setup is a HUGE win for people who want to use Android but are disappointed with Google's Wear OS options. 

Google's time to make headway in this area is quickly running out.",0,Tue Sep 15 19:21:28 +0000 2020,
9,Android,"RT @lil__benadryl: customer: can i get an android ipad
me: oh! ipads are apple. we do have samsung tablets, though
customer: no i don’t wan…",15,Tue Sep 15 19:21:27 +0000 2020,
10,Android,"@fussler @BrianRoemmele This can both be 'local' and not.

I am expecting us to revert a little bit, back to a 'mainframe' style server that delivers information to different devices

there's no reason for my fridge and my washing machine to run Android. So many security flaws

Too many cooks in kitchen",0,Tue Sep 15 19:21:26 +0000 2020,
11,Android,"RT @XboxGamePass: Close your eyes and imagine a world where XGP Ultimate members can play XGP games on their Android devices

now open your…",377,Tue Sep 15 19:21:26 +0000 2020,
12,Android,Pokemon Go Hack Android/iOS 🔥 Pokemon Go Spoofing Joystick GPS &amp; Teleport 🔥 https://t.co/Kmg32ZVaUy via @YouTube,0,Tue Sep 15 19:21:26 +0000 2020,
13,Android,@NottheSamo Android?,0,Tue Sep 15 19:21:25 +0000 2020,
14,Android,"RT @Blanksynthetics: 1999 Volvo C70 (Turbo)130K
$1200 OBO discount if paid in btc*
New: Tires, Plugs, Battery, Motor Mounts, Android Radio…",47,Tue Sep 15 19:21:24 +0000 2020,
15,Android,"RT @Dolby: Untamed and unleashed in Dolby. @SuperM's new single is streaming now in Dolby Atmos®.⁣
⁣
Experience Tiger Inside on @AmazonMusi…",1793,Tue Sep 15 19:21:24 +0000 2020,
16,Android,RT @embroiderose: junimo stickers and 5inch timmy&amp;tommy hoop now available on my etsy ! ❤❤  https://t.co/uOiFOX7A0m https://t.co/OX9YT3ICGO,9,Tue Sep 15 19:21:22 +0000 2020,
17,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:21:21 +0000 2020,
18,Android,@appages @MKBHD Twitter for Android. IQ = 1.1 😂,0,Tue Sep 15 19:21:20 +0000 2020,
19,Android,"RT @MiTVIndia: Mi fans, Grab your #MiTV #HorizonEditon today.

Get your Mi TV 4A 80cm (32) Horizon Edition at 12PM.

Available at just ₹13,…",148,Tue Sep 15 19:21:17 +0000 2020,
20,Android,"RT @WCGamingTweets: Every game available for Xbox Game Pass on Android (xCloud). 

https://t.co/t4CH6gSTKz",23,Tue Sep 15 19:21:16 +0000 2020,
21,Android,"RT @BIOBOOSTERPIXEL: My game SWORDSHOT is out on mobile TOMORROW!! Please RT it helps and means a lot to me, really do appreciate it. Thank…",51,Tue Sep 15 19:21:16 +0000 2020,
22,Android,"I got one of the new generic watches for like $30 on aliexpress: waterproof, touch screen, SpO2/HR/BP, even accurate skin temp--just using an old android with it on airplane mode except for bluetooth (not necessarily because it's from china just don't trust any ""smart"" wearables) https://t.co/QjvdCZOzil",0,Tue Sep 15 19:21:15 +0000 2020,
23,Android,"(Think how much trouble iOS devs have ideating and implementing for Android. That's with, like, glorified digital posters and the databases that run them. In the augmented/virtual space, not being able to step into new modes of experience becomes... fraught.)",0,Tue Sep 15 19:21:13 +0000 2020,
24,Android,"That used or refurbished Android phone might be unsafe: 6 things to know
▸ https://t.co/erL1QdZlMG

#DataSafe #PreviouslyOwnedPhone #MobilePhoneSoftware https://t.co/lGJgJDNBiR",0,Tue Sep 15 19:21:12 +0000 2020,
25,Android,"RT @Dolby: Untamed and unleashed in Dolby. @SuperM's new single is streaming now in Dolby Atmos®.⁣
⁣
Experience Tiger Inside on @AmazonMusi…",1793,Tue Sep 15 19:21:11 +0000 2020,
26,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:21:11 +0000 2020,
27,Android,"RT @Dolby: Untamed and unleashed in Dolby. @SuperM's new single is streaming now in Dolby Atmos®.⁣
⁣
Experience Tiger Inside on @AmazonMusi…",1793,Tue Sep 15 19:21:11 +0000 2020,
28,Android,"RT @manny_oe: It's giving me 3rd act female villain, perhaps and android, but she won't tell you until it's too late.",80,Tue Sep 15 19:21:11 +0000 2020,
29,Android,"Apps/Games – Android Police – Android news, reviews, apps, games, phones, tablets ~ visit; https://t.co/3jUaLtUptx",0,Tue Sep 15 19:21:11 +0000 2020,
30,Android,@elherbuni Desktop. I don’t think they have an IOS app but there is an Android app if I’m not mistaken,0,Tue Sep 15 19:21:10 +0000 2020,
31,Android,"RT @SamsungRydah: Teamed up with @jimmyispromo, check out his video for a great hands-on video of OneUI 3/Android 11.",4,Tue Sep 15 19:21:09 +0000 2020,
32,Android,RT @Paperflowergift: Good morning #UKGiftAM we are now low in stock of our wish bracelets &amp; post cards 💌 #UKGiftHour https://t.co/rHQOYHaYy…,17,Tue Sep 15 19:21:09 +0000 2020,
33,Android,Microsoft just turned Android phones into the most powerful handheld videogame console with Xbox #GamePass. I’m loving this. https://t.co/SHuKvubbEf,0,Tue Sep 15 19:21:06 +0000 2020,
34,Android,RT @WolfieChristl: Android apps from dating to fertility to selfie editors share personal data with the Chinese company Jiguang via its SDK…,7,Tue Sep 15 19:21:00 +0000 2020,
35,Android,"Cool. All of the Android 11 beta design bugs I reported (on the Pixel), despite remaining quite prevalent in the final build, are now being marked as ""obsolete."" Technically, true. Actually, false. Time for OnePlus?",0,Tue Sep 15 19:21:00 +0000 2020,
36,Android,"Me: wants to download Twisted Wonderland per @ThomasSanders bringing it to my attention. 
Me: uses vpn to try to get it to download then I realized that it’s only on android 
Me: sad noises",0,Tue Sep 15 19:20:59 +0000 2020,
37,Android,NOW PLAYING: Bananafishbones by @thecure - Listen live on the free iPhone &amp; Android apps and at https://t.co/KlMNLOhSAo. https://t.co/HskWKByeVy,0,Tue Sep 15 19:20:59 +0000 2020,
38,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:58 +0000 2020,
39,Android,HOT Pokemon Go Spoofing (2020) 🔥 Spoofer For: Android iOS 🔰 Pokemon Go G... https://t.co/XbPaJvtleV via @YouTube,0,Tue Sep 15 19:20:58 +0000 2020,
40,Android,"I just read Waze is getting lane guidance, trip suggestions, and traffic notifications https://t.co/1TmW0e3c04 by @xdadevelopers #android #news #droid https://t.co/OE1OjdkT0q",0,Tue Sep 15 19:20:58 +0000 2020,
41,Android,Android &gt;&gt;&gt;&gt; Apple  Forever BELIEVE THAT !,0,Tue Sep 15 19:20:57 +0000 2020,
42,Android,"RT @XboxSupport: Cloud gaming is not currently supported on iOS devices. Also, devices that run modified, alternate, or emulated versions o…",57,Tue Sep 15 19:20:56 +0000 2020,
43,Android,"@charliekirk11 I am finally done with Apple, too bad because I hate Android. Built my first PC, no more iMacs, MacBooks. No more iPads or iPhones, dammit Laurene",0,Tue Sep 15 19:20:56 +0000 2020,
44,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:55 +0000 2020,
45,Android,"@tierrapartners None taken But I will retain my opinion that once every android device maker copies there will be significant erosion in the class 1 medical monitoring costs. 

Also: specs of several of devices I have seen have sm attribs of a phone (not sensing). More sensing will be eaten away",0,Tue Sep 15 19:20:52 +0000 2020,
46,Android,"RT @CoinMas92454552: 🐷 We are still giving 10K spins to the first 500 peoples 
unlimited For Spins🐽

👉Follow
1- Like &amp; Retweet
2- Comment (…",18,Tue Sep 15 19:20:51 +0000 2020,
47,Android,@humanoid_meme Android,0,Tue Sep 15 19:20:50 +0000 2020,
48,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:50 +0000 2020,
49,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:48 +0000 2020,
50,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:48 +0000 2020,
51,Android,"RT @MiTVIndia: Mi fans, Grab your #MiTV #HorizonEditon today.

Get your Mi TV 4A 80cm (32) Horizon Edition at 12PM.

Available at just ₹13,…",148,Tue Sep 15 19:20:48 +0000 2020,
52,Android,"RT @XboxGamePass: We made a song called ""so many games"" to inform everyone that as of today, you can play over 100 games on your Android mo…",491,Tue Sep 15 19:20:48 +0000 2020,
