,category,full_text,retweet_count,created_at,geo
0,COVID,RT @KarluskaP: Twitter Suspends Account Of Chinese Scientist Who Published Paper Alleging Covid Was Created In Wuhan Lab | Zero Hedge- she…,1181,Tue Sep 15 23:08:45 +0000 2020,
1,COVID,"RT @heysciencesam: 🧵 

People in their 20s are now disproportionately represented in new COVID-19 cases in Ontario.

Instead of shaming &amp; b…",2337,Tue Sep 15 23:08:45 +0000 2020,
2,COVID,RT @Reuters: Novavax aims for 2 billion COVID-19 vaccine doses with expanded India deal https://t.co/FzJkSD9o4V https://t.co/1hO5k7tyVr,13,Tue Sep 15 23:08:45 +0000 2020,
3,COVID,@SecLaRoseComms Ohio reports Covid-19 infections &amp;  deaths are UP and you're going to refuse to comply with the court and not allow more than 1 dropbox pet county? So now it's official Republican policy to do as much as possible to force voters to endanger themselves? Go to Hell.,0,Tue Sep 15 23:08:45 +0000 2020,
4,COVID,RT @TwitchyTeam: ‘Absolutely information WARFARE’: Brit Hume shares DAMNING thread detailing how the media pushed COVID panic (to hurt Trum…,22,Tue Sep 15 23:08:45 +0000 2020,
5,COVID,RT @thedailybeast: A new study purporting to show that COVID-19 was manufactured in a Chinese lab was published by a pair of nonprofit grou…,134,Tue Sep 15 23:08:45 +0000 2020,
6,COVID,"RT @davenewworld_2: COVID-denier in Canada harasses customers at a fabric store &amp; says ""nobody is sick"" https://t.co/tEpKysQIOt",1139,Tue Sep 15 23:08:45 +0000 2020,
7,COVID,RT @StephenFarris13: @kylegriffin1 @IlvesToomas So when is Jared Kushner gonna let us hear his Covid tapes so that we can compare. I have h…,1,Tue Sep 15 23:08:44 +0000 2020,
8,COVID,"RT @donwinslow: Dear Trump rallygoers,

If #Covid_19 is a hoax as many of you have said on camera to journalists, why is Donald Trump havin…",5811,Tue Sep 15 23:08:44 +0000 2020,
9,COVID,"RT @bopinion: Decisions not to reopen workplaces over the summer were rooted in the expectation that if we just waited a bit longer, things…",2,Tue Sep 15 23:08:44 +0000 2020,
10,COVID,@PoCoAustinPa Only if I had COVID,0,Tue Sep 15 23:08:44 +0000 2020,
11,COVID,"#BREAKING: There have been 42 new COVID-19 cases in Victoria, and eight lives lost, in the last 24-hours. #9Today https://t.co/SVIGHNATXC",0,Tue Sep 15 23:08:44 +0000 2020,
12,COVID,"RT @yeahunoeme: Remember when Trump said he could shoot (kill) somebody on 5th Ave &amp; he wouldn’t lose any voters? 
Well he was right &amp; he’s…",16,Tue Sep 15 23:08:44 +0000 2020,
13,COVID,"RT @adriandix: We are grateful to report that there have been no new deaths from #COVID19 since yesterday.

In total, 219 people have passe…",8,Tue Sep 15 23:08:44 +0000 2020,
14,COVID,"RT @GreyGhost_Biker: Today we witnessed the historic signing of the Abraham Accords - negotiated by @realDonaldTrump

Meanwhile @SpeakerPel…",890,Tue Sep 15 23:08:44 +0000 2020,
15,COVID,"RT @ChinaDaily: #WhatsUp More than 9,500 theaters in China have reopened from July 20 and resumption rate has reached 88% by late August. #…",12,Tue Sep 15 23:08:44 +0000 2020,
16,COVID,"RT @donwinslow: Dear Trump rallygoers,

If #Covid_19 is a hoax as many of you have said on camera to journalists, why is Donald Trump havin…",5811,Tue Sep 15 23:08:44 +0000 2020,
17,COVID,"RT @DebraMessing: Trump KNEW #COVID was 5x more DEADLY than the worst flu, knew is was contagious and AIRBORNE and LIED. It was a monumenta…",825,Tue Sep 15 23:08:44 +0000 2020,
18,COVID,"RT @NYSAnimal: When Covid first started, and we all had to stay in, the air got clearer, animals freed up, water was cleaner, now a damn ge…",12192,Tue Sep 15 23:08:43 +0000 2020,
19,COVID,"RT @Covid19Crusher: Another brave US doctor goes public. Has treated over 1,700 patients with hydroxychloroquine + azithromycin + zinc. No…",126,Tue Sep 15 23:08:43 +0000 2020,
20,COVID,"In the UK, a phenomenal amount of public money has been redistributed, supposedly to tackle the Covid crisis. What exactly are we, the public, getting for that money?   It seems like a complete con job from a conglomerate of sleekit wee cunts.",0,Tue Sep 15 23:08:43 +0000 2020,
21,COVID,"RT @josh_hammer: Friendly reminder that the *only* explicit intention of the COVID lockdowns was to prevent hospital capacity overload.

Th…",13433,Tue Sep 15 23:08:43 +0000 2020,
22,COVID,"RT @JoeBiden: This morning, parents all across the West — already worried about their kids being indoors because of COVID-19 — are now also…",16160,Tue Sep 15 23:08:43 +0000 2020,
23,COVID,"RT @BloodAid: #Pune #Urgent Need O+ #blood Covid-19 Convalescent #Plasma @ Parmar Hospital, Aundh. 
Call 9975280709 
#BloodAid via @_sanatb…",13,Tue Sep 15 23:08:43 +0000 2020,
24,COVID,"RT @donwinslow: Dear Trump rallygoers,

If #Covid_19 is a hoax as many of you have said on camera to journalists, why is Donald Trump havin…",5811,Tue Sep 15 23:08:43 +0000 2020,
25,COVID,"RT @donwinslow: Dear Trump rallygoers,

If #Covid_19 is a hoax as many of you have said on camera to journalists, why is Donald Trump havin…",5811,Tue Sep 15 23:08:43 +0000 2020,
26,COVID,"RT @Iam_Afrodisiac: Planned Parenthood does health exams, cancer screenings, STD testing, Covid testing but these people think only abortio…",55594,Tue Sep 15 23:08:43 +0000 2020,
27,COVID,RT @TimRunsHisMouth: Bill Gates now 'wonders whether the FDA can be trusted on a COVID vaccine' ...I'll tell you who DEFINITELY shouldn't b…,5921,Tue Sep 15 23:08:43 +0000 2020,
