,category,full_text,retweet_count,created_at,geo
0,Coronavirus,RT @TIME: “I don’t know what you’re thinking.” The head of a visiting Chinese Red Cross delegation helping Italy respond to the coronavirus…,13735,Tue Sep 15 23:54:39 +0000 2020,
1,Coronavirus,"RT @DrLaPook: On @CBSEveningNews, see how @BowdoinCollege is trying to safely bring students back to campus. It's a small college in a stat…",3,Tue Sep 15 23:54:39 +0000 2020,
2,Coronavirus,RT @dehammo: Scientists discover antibody that 'neutralizes' virus that causes coronavirus https://t.co/4kyMVS0TMM via @nypost,5,Tue Sep 15 23:54:38 +0000 2020,
3,Coronavirus,"RT @TrumpWarRoom: 👀 CNN fact checks Democrats trying to undermine public confidence in the coronavirus for political purposes.

""There's no…",5,Tue Sep 15 23:54:38 +0000 2020,
4,Coronavirus,"“Start with small changes, try to sustain them, and then continue to build on your healthy habits” https://t.co/JDf69ZkGSm via @WSJ",0,Tue Sep 15 23:54:37 +0000 2020,
5,Coronavirus,"Besides being racist, Mike Ditka clearly doesn’t know the president he supports has totally punted all responsibility of tackling the coronavirus thus making it in fact nearly impossible to “get the hell out of the country.” But hey, make america great again, again. #BidenHarris https://t.co/WgZLcejJ7U",0,Tue Sep 15 23:54:37 +0000 2020,
6,Coronavirus,https://t.co/oa5o4X87pp there are 9 out of 36 vaccines in phase 3 for the corona virus,0,Tue Sep 15 23:54:37 +0000 2020,
7,Coronavirus,RT @beaconjournal: The state has registered the third-largest number of deaths due to coronavirus in the last 24 hours. https://t.co/4ny9nj…,2,Tue Sep 15 23:54:36 +0000 2020,
8,Coronavirus,"RT @SenateGOP: Stronger trade deals. Killing terrorists. National security tools. Justice reform. Coronavirus relief. 

Democrats spent the…",8146,Tue Sep 15 23:54:36 +0000 2020,
9,Coronavirus,"RT @MSNBC: ""This is happening under President Donald Trump's watch, it's not Joe Biden's watch or anybody else's watch,"" Sen. Manchin says…",465,Tue Sep 15 23:54:36 +0000 2020,
10,Coronavirus,RT @FinancialTimes: Germany expects no coronavirus vaccine to be available to the wider population before the middle of next year https://t…,37,Tue Sep 15 23:54:36 +0000 2020,
11,Coronavirus,RT @JeffereyJaxen: BREAKING: Pfizer Covid vaccine trial participants showing  'mild-to-moderate side effects' https://t.co/zFwYca19Bf,58,Tue Sep 15 23:54:36 +0000 2020,
12,Coronavirus,"RT @DoubleDownNews: Murder, Corruption, Coronavirus &amp; the Death of Democracy

Welcome to Bolsonaro’s Brazil @ggreenwald https://t.co/5JhRvZ…",392,Tue Sep 15 23:54:35 +0000 2020,
13,Coronavirus,"RT @heatherscope: WOO boy what a day:  
-Growing anger among Dem mods over stalled COVID talks 

-Pelosi thought she'd appeased them by say…",7,Tue Sep 15 23:54:35 +0000 2020,
14,Coronavirus,"After listening to the concerns of faculty, students &amp; staff, and due to the increase of disease prevalence, BYU will be updating the COVID-19 dashboard information more frequently than once a week.

BYU currently has 330 active cases: https://t.co/m8PyWeMv8J",0,Tue Sep 15 23:54:35 +0000 2020,
15,Coronavirus,"RT @thereidout: ""Let's understand what this is: Donald Trump has confessed, on tape, to the greatest and most deadly lie in all the long hi…",895,Tue Sep 15 23:54:35 +0000 2020,
16,Coronavirus,"RT @anniekarni: Good point from Woodward about the travel ban on China that Trump cites constantly.

“If this was such a big deal, he would…",132,Tue Sep 15 23:54:35 +0000 2020,
17,Coronavirus,RT @BresPolitico: Pelosi faces growing Democratic unrest over Covid relief. ⁦@heatherscope⁩ ⁦@sarahnferris⁩ &amp; me https://t.co/kBUHu2BeX7,36,Tue Sep 15 23:54:35 +0000 2020,
18,Coronavirus,"RT @TrumpWarRoom: 👀 CNN fact checks Democrats trying to undermine public confidence in the coronavirus for political purposes.

""There's no…",5,Tue Sep 15 23:54:35 +0000 2020,
19,Coronavirus,"RT @OpIndia_com: Congress MLA who had threatened to burn BJP MP Sadhvi Pragya Thakur alive dies of Coronavirus
https://t.co/nyL9wZhnyV",1713,Tue Sep 15 23:54:34 +0000 2020,
20,Coronavirus,"RT @covfefe253: Dear ⁦@realDonaldTrump⁩, whatever you do, don’t comment on this, or the dems and MSM will kill it! 😀

University of Pittsbu…",31,Tue Sep 15 23:54:34 +0000 2020,
21,Coronavirus,RT @aetiology: Many of you probably know this already. The rest of y'all should start bracing for it. https://t.co/LMQK1wXuJN,158,Tue Sep 15 23:54:34 +0000 2020,
22,Coronavirus,RT @gatewaypundit: SHOCKING: Twitter Shuts Down Account of Chinese Professor Who Has Evidence China Created the Coronavirus in a Lab @JoeHo…,2038,Tue Sep 15 23:54:34 +0000 2020,
23,Coronavirus,"RT @TrumpWarRoom: 👀 CNN fact checks Democrats trying to undermine public confidence in the coronavirus for political purposes.

""There's no…",5,Tue Sep 15 23:54:34 +0000 2020,
24,Coronavirus,RT @watchertv2000: #coronavirus updates thanks 🙏 @Constance8News @8NEWS https://t.co/sZnlKs3ubM,1,Tue Sep 15 23:54:33 +0000 2020,
25,Coronavirus,RT @kylegriffin1: JPMorgan Chase has sent home a number of its employees in New York City after an unspecified number tested positive for t…,511,Tue Sep 15 23:54:33 +0000 2020,
26,Coronavirus,RT @JesseRodriguez: AP: At least seven people have died in connection to a coronavirus outbreak that continues to sicken people in Maine fo…,364,Tue Sep 15 23:54:33 +0000 2020,
27,Coronavirus,"#School staff isolating with unconfirmed #Covid19UK cases in #schoolsuk risks closures -
#skynews report: https://t.co/uOX7aM2Lew",0,Tue Sep 15 23:54:33 +0000 2020,
28,Coronavirus,"RT @themoneycoach: New CDC data show Blacks, Latinos and Native Americans under age 21 make up ~ 75% of #COVID illnesses &amp; deaths among the…",1,Tue Sep 15 23:54:32 +0000 2020,
29,Coronavirus,@GOPChairwoman You gotta be sitting me?  What could Joe do about the Coronavirus that Trump F'd up?,0,Tue Sep 15 23:54:32 +0000 2020,
30,Coronavirus,"@thehill @GOPLeader @GOP The Trump administration's gross mishandling of the response to the coronavirus outbreak has resulted in an unemployment rate of over 8%, not to mention the over 200,000 Americans who have died from COVID-19 so far.",0,Tue Sep 15 23:54:32 +0000 2020,
31,Coronavirus,"RT @DrDenaGrayson: 🚨BREAKING: Just days after @realDonaldTrump praised JP Morgan for requiring employees to return to the office, the bank…",383,Tue Sep 15 23:54:32 +0000 2020,
32,Coronavirus,"RT @mcburls: Jared Kushner responds to Trump publicly downplaying coronavirus threat https://t.co/v0MJnTdekj via @TODAYshow 
.
Jared would…",1,Tue Sep 15 23:54:31 +0000 2020,
33,Coronavirus,"RT @MSNBC: ""Everything, across the board, about the fight against coronavirus has been thoroughly politicized,"" @Laurie_Garrett says, discu…",66,Tue Sep 15 23:54:31 +0000 2020,
34,Coronavirus,"RT @DoubleDownNews: Murder, Corruption, Coronavirus &amp; the Death of Democracy

Welcome to Bolsonaro’s Brazil @ggreenwald https://t.co/5JhRvZ…",392,Tue Sep 15 23:54:31 +0000 2020,
35,Coronavirus,"RT @DebraMessing: Dr. Fauci says #TRUMP is STILL LYING to  us. He says the #COVID numbers are Alarming, and we are NOT tunring the corner.…",583,Tue Sep 15 23:54:31 +0000 2020,
36,Coronavirus,"RT @JoeNBC: Georgia prison with ICE detainees performs questionable hysterectomies, shreds coronavirus records

https://t.co/ZfgnD3gd3k",335,Tue Sep 15 23:54:31 +0000 2020,
37,Coronavirus,"RT @thereidout: ""Let's understand what this is: Donald Trump has confessed, on tape, to the greatest and most deadly lie in all the long hi…",896,Tue Sep 15 23:54:31 +0000 2020,
38,Coronavirus,"RT @TrumpWarRoom: 👀 CNN fact checks Democrats trying to undermine public confidence in the coronavirus for political purposes.

""There's no…",5,Tue Sep 15 23:54:31 +0000 2020,
39,Coronavirus,RT @KansasDems: Donald Trump lied to the American people and downplayed the coronavirus for months despite knowing how deadly it was. He ha…,6,Tue Sep 15 23:54:31 +0000 2020,
40,Coronavirus,.@cahome25 @SamKnox_16 If PA can do it so can we... https://t.co/Bz31JAgcau,0,Tue Sep 15 23:54:31 +0000 2020,
41,Coronavirus,RT @sapiofoxy: THE number of patients in hospital with #Covid in #Scotland has been slashed from 262 to just 48 following revisions to how…,351,Tue Sep 15 23:54:31 +0000 2020,
42,Coronavirus,RT @atrupar: New Woodward audio is the starkest illustration yet of how Trump misled about coronavirus https://t.co/EAyzjKIOeI,610,Tue Sep 15 23:54:30 +0000 2020,
43,Coronavirus,"Trump Denies Climate Science In Fire-Scarred California, Echoing His Downplaying Of The Coronavirus https://t.co/bloVWbA35W via @colbertlateshow",0,Tue Sep 15 23:54:30 +0000 2020,
44,Coronavirus,"For some COVID-19 patients, the first symptom is not a cough, but a stroke https://t.co/7sYFnekUUr",0,Tue Sep 15 23:54:30 +0000 2020,
45,Coronavirus,"@NickClairmont1 Coronavirus probably spreads at mass events.

But do the articles include anything false or misleading? The titles alone do not prove the articles wrong.",0,Tue Sep 15 23:54:30 +0000 2020,
46,Coronavirus,"RT @Reuters: With no internet access at home, these Indonesian students had to get creative using plastic trash to access remote learning a…",24,Tue Sep 15 23:54:28 +0000 2020,
47,Coronavirus,RT @news6wkmg: The international reputation of the United States has declined further in the wake of its handling of the coronavirus pandem…,2,Tue Sep 15 23:54:28 +0000 2020,
48,Coronavirus,RT @CNNBusiness: The Nevada company that hosted an indoor campaign rally for President Trump attended by thousands of people will face a fi…,626,Tue Sep 15 23:54:28 +0000 2020,
49,Coronavirus,RT @gatewaypundit: SHOCKING: Twitter Shuts Down Account of Chinese Professor Who Has Evidence China Created the Coronavirus in a Lab @JoeHo…,2038,Tue Sep 15 23:54:28 +0000 2020,
50,Coronavirus,"RT @TTwi5ted: @ChuckCallesto So sick of hearing this crap... #Scamdemic 
https://t.co/2G8SQxItYN",41,Tue Sep 15 23:54:28 +0000 2020,
51,Coronavirus,"RT @kylegriffin1: Don't want this to get lost:

Jared Kushner on Woodward: ""He's got tapes of everything, I have tapes of everything.""

Kus…",5800,Tue Sep 15 23:54:28 +0000 2020,
52,Coronavirus,"RT @blackwomenviews: Most of the LSU football team has caught #COVID19 and Coach Ed Oregon's response is ""hopefully they're not out for gam…",350,Tue Sep 15 23:54:27 +0000 2020,
53,Coronavirus,"RT @thereidout: ""Let's understand what this is: Donald Trump has confessed, on tape, to the greatest and most deadly lie in all the long hi…",896,Tue Sep 15 23:54:27 +0000 2020,
54,Coronavirus,"RT @jeremyconnell: Don’t suppose the Murdoch press will be reporting this. Pity the AMA didn’t name the Courier Mail. 
⁦@slpng_giants_oz⁩ ⁦…",128,Tue Sep 15 23:54:27 +0000 2020,
55,Coronavirus,"RT @thereidout: ""Let's understand what this is: Donald Trump has confessed, on tape, to the greatest and most deadly lie in all the long hi…",896,Tue Sep 15 23:54:27 +0000 2020,
56,Coronavirus,"RT @jaketapper: According to Johns Hopkins University's tally of cases in the United States, there are at least 6,585,763 cases of coronavi…",1107,Tue Sep 15 23:54:27 +0000 2020,
57,Coronavirus,"RT @thereidout: ""Let's understand what this is: Donald Trump has confessed, on tape, to the greatest and most deadly lie in all the long hi…",896,Tue Sep 15 23:54:27 +0000 2020,
58,Coronavirus,"RT @KOT4Q: Coronavirus wont stop us from getting the show done...
Coming soon feat. @JaMorant https://t.co/Vyixm1NLpf",339,Tue Sep 15 23:54:27 +0000 2020,
59,Coronavirus,RT @ChrisMusson: Number of Covid hospital patients in Scotland slashed as stats overplayed total by 80 per cent https://t.co/eJXsevcZ7S,214,Tue Sep 15 23:54:27 +0000 2020,
60,Coronavirus,"RT @TrumpWarRoom: 👀 CNN fact checks Democrats trying to undermine public confidence in the coronavirus for political purposes.

""There's no…",5,Tue Sep 15 23:54:27 +0000 2020,
61,Coronavirus,"RT @thereidout: ""Let's understand what this is: Donald Trump has confessed, on tape, to the greatest and most deadly lie in all the long hi…",896,Tue Sep 15 23:54:26 +0000 2020,
