,category,full_text,retweet_count,created_at,geo
0,Elections,RT @MandarSawant184: Well @RahulPalkar6 who has been following Mumbai politics closely for more than 3 decades now has a contrary opinion.…,57,Wed Sep 16 01:54:51 +0000 2020,
1,Elections,RT @kstreet111: Donald Trump makes false claims about autos at Michigan rally https://t.co/fc1RwPwwjf,6,Wed Sep 16 01:54:51 +0000 2020,
2,Elections,"RT @Jscanman: @Zogalaz @TrinityResists @MollyJongFast Tax Evasion
Rape
Obstructing Justice
Tampering with Elections",1,Wed Sep 16 01:54:50 +0000 2020,
3,Elections,RT @EricTrump: 59% Think Biden Unlikely to Finish A Four-Year Term in White House - Rasmussen Reports https://t.co/psmBLbkmDa,2216,Wed Sep 16 01:54:50 +0000 2020,
4,Elections,"RT @DavidPepper: BREAKING: Court rules that Ohio's Sec of State ""acted arbitrarily in directing “Boards of elections are prohibited from in…",3479,Wed Sep 16 01:54:48 +0000 2020,
5,Elections,"RT @TwitterMoments: If you’re eligible to vote in the 2020 US elections, we want to help you:

🗳️ Register to vote
🗳️ Understand early voti…",1328,Wed Sep 16 01:54:46 +0000 2020,
6,Elections,"@JigglesWalnuts @DiegoVZ1599 @NewYorker It’s an executive branch. Same with gubernatorial elections. House is a 2 year term, senate is 6 and prez is 4. SCOTUS is a lifetime appt appointed by the president. There’s all sorts of checks and balances and reasons why executive elections are different.",0,Wed Sep 16 01:54:45 +0000 2020,
7,Elections,"RT @wsoctv: Calling it, “more of an embarrassment than an issue,” Mecklenburg Board of Elections Director Michael Dickerson said his office…",5,Wed Sep 16 01:54:44 +0000 2020,
8,Elections,@sciam We don't give a shit what a German magazine has to say about our elections.,0,Wed Sep 16 01:54:41 +0000 2020,
9,Elections,Tell Amazon: Stop Endangering Our Elections https://t.co/o5Y6APlIn1,0,Wed Sep 16 01:54:40 +0000 2020,
10,Elections,RT @EricTrump: 59% Think Biden Unlikely to Finish A Four-Year Term in White House - Rasmussen Reports https://t.co/psmBLbkmDa,2216,Wed Sep 16 01:54:39 +0000 2020,
11,Elections,@jacobfhsmith California rapidly becoming the largest polity in the world with both free elections and only one winning political party.,0,Wed Sep 16 01:54:38 +0000 2020,
12,Elections,RT @aaron16denison: We have been working our hearts out to make sure that our Sabahan friends get back home to vote in the upcoming Sabah s…,8,Wed Sep 16 01:54:38 +0000 2020,
13,Elections,"RT @HTodd01: Biden has been caught lying and plagiarizing so many times, yet Dems say he is trustworthy!  #VoteRedToSaveAmerica2020 #plagia…",102,Wed Sep 16 01:54:36 +0000 2020,
14,Elections,"Going by aggregated polls in the U.S. elections by each state, this is the result I’ve got

Biden - 259
Trump - 112
Too close - 167

Dark beige - too close to call, less than 5%

Light colour - leaning with 5-7.4%

Medium colour - likely with 7.5-10%

Dark colour - safe with +10% https://t.co/wn5ciwnTFu",0,Wed Sep 16 01:54:35 +0000 2020,
15,Elections,"RT @TwitterMoments: If you’re eligible to vote in the 2020 US elections, we want to help you:

🗳️ Register to vote
🗳️ Understand early voti…",1328,Wed Sep 16 01:54:34 +0000 2020,
16,Elections,RT @PoliticsReid: A bunch of Alaska candidates are running as independents. But they won Dem primaries. A last-minute change means they’ll…,12,Wed Sep 16 01:54:34 +0000 2020,
17,Elections,"RT @StevePPhill: Vote-by-Mail is Palm Beach County

Ballots for the Nov 3rd, 2020 election will begin to mail on Sept. 24, 2020

The deadli…",12,Wed Sep 16 01:54:33 +0000 2020,
18,Elections,"@subsurface_life Yes! Realistically we might have missed one or both elections if we had to vote in-person, just because life is hectic. But vote-by-mail and the relatively long time window made these hard to miss.",0,Wed Sep 16 01:54:33 +0000 2020,
19,Elections,RT @Telegraph: Hong Kong police tackled a 12-year old girl to the ground and arrested her on Sunday amid protests against delayed parliamen…,2952,Wed Sep 16 01:54:31 +0000 2020,
20,Elections,"RT @abigailmarone: More than 1,600 uncounted NJ primary ballots found in random bin at county elections board

I can't help but wonder, wil…",120,Wed Sep 16 01:54:31 +0000 2020,
